,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
PPIG,10.63306843,10.78815739,10.36252765,10.63118224,10.54510836,10.73216743,10.81423274,10.65547859,10.50754069,11.19462752,10.73716193,10.61060225,10.93679728,11.21761207,10.95015409,11.17975812,10.55728006,11.04058982,10.7739356,10.61629974,11.28901984
PPIH,8.245915901,8.688446572,8.378932818,8.204149619,8.701507768,8.46760555,8.376794996,8.505732677,8.58446088,8.833631904,8.4303531,8.054705356,8.609504032,8.789615575,8.668249706,8.312127788,8.259815183,8.375337765,8.71033515,8.343390639,8.600780031
PPIL1,8.668058631,9.34992697,9.104680336,8.736169304,9.513524579,9.283088353,9.258305412,9.192956173,9.392871183,9.506330631,8.770997419,9.348276454,9.083909157,8.914427037,9.469530916,8.96209619,8.953432634,9.157427642,9.489644188,9.531241497,8.949508354
PPIL2,10.93142376,10.55160091,10.84522491,10.71476258,10.83098405,10.35929933,10.53212491,10.53311957,10.85488624,10.34819937,10.73393111,11.21842296,10.37276782,9.980513951,10.12890766,10.67478806,10.96663157,10.19666193,10.39385039,11.297437,10.25411975
PPIL3,8.682721659,9.174586683,8.648553155,8.689871699,9.006988412,9.034771456,8.948818389,8.47293557,7.810193565,8.539656906,8.906985009,8.235502902,9.21743423,8.732584945,9.123632407,9.199675254,8.013199326,7.876471503,7.943238668,8.507846562,8.8308327
PPIL4,10.3364901,10.40741051,10.20124085,10.3238596,10.20845938,10.37829486,10.31494352,10.31223512,10.26130315,10.6237152,10.46118855,10.62781843,10.70492861,11.03873786,10.79978922,10.41898627,10.28913236,10.50138288,10.52628009,10.47931693,11.02591333
PPIL6,7.577487246,7.177237067,7.496759756,7.492500266,7.008577721,7.35411712,7.317479064,7.508093734,7.533757332,7.149124692,7.22819606,7.811462352,7.397333474,7.510746074,7.772011634,7.745560088,7.737746448,8.174466311,7.538274855,7.629305833,7.267092768
PPIP5K1,10.9606321,10.80836033,10.93141854,10.91329589,10.87660077,11.11365102,11.28335737,11.23559084,11.17308554,11.1440595,10.91004671,10.97958266,10.51678842,10.66299887,10.78747369,10.44872021,10.96544276,10.26760926,10.69631789,11.04328072,10.42710932
PPIP5K1P1-CATSPER2,8.450320401,8.300562422,8.937146171,8.650447234,8.521852889,7.387241898,8.967538118,8.753471417,9.601722388,8.948187255,7.323481293,7.292406248,7.763702493,7.951109912,8.868980804,7.901210618,8.656771433,7.673550671,8.069185222,8.492968162,7.789356388
PPIP5K2,11.53541957,11.57260238,11.45389069,11.46766828,11.13847369,11.53576138,11.54953111,11.5340415,11.46211221,11.78489478,11.25548508,12.2514461,11.93787154,12.05330039,12.0655187,12.21983558,12.16768957,11.9485403,11.80196675,12.20228917,12.25514262
PPL,11.26991308,10.75945866,11.22164528,11.13570349,10.9220507,11.57837269,12.24076473,11.50780307,11.72821959,11.75959703,11.62884881,10.37068465,10.61940105,11.00531558,11.06381677,11.03421229,10.9687763,11.1050732,10.73525208,10.36401478,10.07209272
PPM1A,11.571152,11.43837916,11.44764921,11.50775215,11.00231112,11.5943246,11.5911003,11.51085497,11.41529008,11.73964953,11.32930032,12.48842935,11.87682865,12.50583574,12.19304695,11.93807072,12.1835943,12.0995881,11.92850565,12.25247596,12.26398495
