,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
A1BG,6.470045027,7.948130338,6.745414885,6.98769213,7.369777258,7.460005304,8.010040831,6.563056804,6.623190378,7.748604796,7.132303672,6.312124899,6.68583191,6.922066567,6.728698812,6.7078386,5.724580451,5.812888722,5.390464305,5.05784509,6.878962065
A1BG-AS1,5.79430571,7.205760438,6.924108025,5.738771471,6.706349914,6.676239195,7.48926946,6.617872379,5.7677455,7.326259773,6.350176213,5.683234307,6.635945029,6.891660051,5.845922855,6.354684653,4.470261125,5.751745809,6.042867221,2.908318658,7.128462627
A1CF,9.604494008,8.61338866,9.860207317,9.117112404,9.52281505,9.840777924,10.12642715,9.900573024,9.958159064,10.12510281,9.410652748,9.011275929,8.616691858,7.942526271,10.12515387,10.46192004,10.02236205,9.918730308,8.903762196,11.7733602,8.98082165
A2M,15.29846863,15.87364758,15.9488942,15.67449696,16.24291066,15.92698298,15.5614234,15.79092333,15.56903553,15.11069069,16.05724425,14.79969324,16.1710376,16.46539098,15.91226098,15.16042508,15.43304725,15.7341381,15.78708915,15.52033657,16.0795496
A2M-AS1,7.504130568,8.364308747,7.570333346,7.211567966,8.253429171,7.895060213,9.143079179,7.014056208,7.727894266,8.033519864,7.647527456,6.987629581,8.957241648,9.039988071,8.552268698,7.214343003,7.242961086,7.33363126,7.156746577,7.153321952,8.700780436
A2ML1,2.434635123,2.805727249,3.249021225,2.865207261,2.642589863,3.107687869,2.885514382,2.592873792,2.54948935,2.780526996,2.642136051,2.887145007,2.57576553,2.634082262,2.670097105,6.971159471,6.056029475,2.739504061,2.570294532,2.95930358,2.792767393
A2MP1,3.880060079,4.167507326,3.890590961,3.232877282,3.782934756,2.584962501,4.06549216,3.009181516,3.535766462,4.207333044,3.6642538,1.112773552,3.892990371,5.423055997,3.802428579,3.193960517,1.768911038,2.881484858,3.149011031,2.215633528,4.575136243
A3GALT2,0,1.998840423,0,1.019859233,0,1,0,0,0.986277112,0,1.620018303,2.225547105,0.996442126,0,0,0,0,0,0,0,0
A4GALT,7.755189064,8.717033305,8.244682917,8.744685405,8.151604121,8.266927056,8.716406076,8.155196012,7.691294451,8.493738633,7.973834944,7.421116606,8.0655956,8.967970813,7.809932908,7.481578401,7.117050115,7.89155045,7.776804686,7.01428981,8.153908989
A4GNT,9.300934661,4.641163735,7.832914777,7.688880725,7.994516612,6.392317423,5.017279799,8.199945086,7.725400142,6.921898719,8.12416722,7.471434837,5.786693084,4.16513329,6.719215187,7.54569216,7.190702533,7.761928093,7.082246695,8.369100176,4.134065051
AA06,0,0,0,0,0,0,0.994624861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,9.82325634,9.705176218,9.763470383,10.01845178,10.01939437,9.829722735,9.787882372,9.631157059,9.963347391,9.785170988,9.934359819,9.853463348,9.703445353,9.550969342,9.56125983,9.85591042,9.643019714,9.435020968,9.504830308,9.945181196,9.414465785
AACS,10.12889475,9.713753629,9.887491904,10.01357169,10.11230427,10.32192809,10.56859418,10.19223008,9.883463154,10.18022551,10.25674612,9.94772732,9.632717176,9.202268933,9.526816078,9.770771884,9.721770481,9.452634654,9.866685743,9.985882989,9.455315396
AACSP1,3.483175397,2.805727249,3.06558572,3.38789904,3.066879921,3,1.576443107,1.003060505,3.535766462,3.550703524,2.044235497,2.876477905,3.892990371,0,1.582911715,3.374871766,4.823525043,2.383240036,0.993402377,6.220069691,0
AADAC,7.880513974,4.951323924,9.125980285,6.501642827,9.636407368,7.199672345,6.962374026,8.79833466,6.776083475,5.618217944,8.712083956,10.24532203,7.449135712,2.038004235,8.270056267,9.536210089,8.669748965,9.742491324,6.298022062,11.31424807,4.371203503
AADACL2,1.661897016,1.584043557,2.64147471,2.039718467,1.620296556,2,0.994624861,1.003060505,1.972554224,1.569816124,3.066353246,0,1.992884252,3.385051762,1.997412197,1.064653506,1.116058605,2.052811232,2.567907893,1.107816764,2.839362294
AADACL2-AS1,5.739145597,5.99629596,6.421300285,6.222567038,6.279974368,5.884109451,6.023812947,5.847182927,6.332109029,5.825457668,6.335791666,5.915263373,6.106654101,5.880487017,5.870384045,5.431668562,6.188246596,6.31004789,6.367441369,6.276154103,5.538163669
AADACL3,2.09708055,0.999420211,0,0,2.373691551,3.169925001,0.994624861,0,0,0,3.066353246,0,0,5.30844401,0,0,0,0,0,0,0
AADACL4,0,3.168087115,0,1.019859233,2.044586614,0,3.152886213,0,1.563212238,0,0,0,2.313666967,4.249162406,0.998706098,0,0,0,0,1.107816764,1.603033064
AADACP1,3.62735338,2.998260634,3.663336617,4.902825305,5.325589308,4.64385619,2.792264999,3.470019228,3.649658999,2.560259824,3.782285113,5.033700108,2.989326378,2.634082262,3.802428579,6.768590029,4.653880682,5.63686886,3.300011266,1.107816764,3.498873484
AADAT,7.52842385,6.803408095,7.367065763,7.41109935,7.132826566,7.108524457,7.475301905,7.181784161,7.373144779,6.966209501,6.5854469,7.516660162,7.2221403,7.232909722,7.493719549,7.522936628,7.837374029,7.419700101,7.255593156,8.160535239,7.493867298
AAED1,8.328046342,8.620707755,8.503861312,8.740046371,8.525772839,8.891783703,8.850018298,8.644762117,8.391043128,8.938892621,8.625438929,8.075829252,8.907773317,9.03262445,9.148019364,8.627193773,8.315988283,8.857220097,8.962841631,7.716812606,9.365315966
AAGAB,10.41122734,10.32118329,10.4401034,10.42827222,10.50640212,10.57666385,10.47754407,10.4515653,10.46228692,10.53877842,10.10952734,10.58881911,10.36385315,9.921414184,10.61166838,10.9155362,10.42630283,10.51215999,10.76612535,10.47249168,10.27106929
AAK1,12.17052057,11.89165739,12.3540229,12.06870873,11.82877048,11.93445016,12.06390385,12.16268853,12.14013425,11.99433499,11.97664801,12.75020102,12.54204338,12.15961402,12.3820631,12.2546701,13.05511222,12.44882032,12.20398024,12.79129831,12.78474125
AAMDC,8.429130326,8.317103135,8.157517036,8.430958584,8.377445084,8.366322214,8.523791442,8.525859711,8.518105189,8.154936737,8.524308708,8.12745405,8.278779006,8.804427885,8.639858081,8.270424674,7.861956677,8.322635039,8.370671436,7.767155091,8.113832881
AAMP,11.56609875,11.53440522,11.31897591,11.40129918,11.63638036,11.38640142,11.64357197,11.49553068,11.52483229,11.42118412,11.59747307,11.45302331,11.04669315,11.3282401,11.34559932,11.41607463,11.35023231,11.15423593,11.1612889,11.75915351,10.86563681
AANAT,2.434635123,3.457425879,3.394551777,2.863106839,1.620296556,3.584962501,2.571067967,3.009181516,2.958831336,3.290182753,3.240036606,1.763704352,3.572207655,3.230160288,1.582911715,1.064653506,2.232117211,3.409645652,1.574505516,3.110034846,3.742629378
AAR2,9.956786439,10.06696244,10.18070391,10.09286598,10.16416603,10.10459875,10.00661829,10.16286556,9.955557789,10.04011898,10.14128972,9.904649178,10.01815528,10.22967971,10.03003259,9.708512581,9.986902254,10.02951167,10.08152076,9.830150143,9.901146622
AARD,2.145462066,4.752664595,3.780203923,3.850020151,3.096085974,4.325530332,4.300847928,3.181233582,3.763214715,4.845156675,4.418256532,2.225547105,3.010729683,3.780898519,3.994824394,4.192909775,2.597835514,3.809499216,1.621499125,1.310206354,4.374846809
AARS,12.29942513,11.8117299,12.31440732,12.0608312,12.55128582,11.97620609,12.10855249,11.84752347,12.19877483,11.86353005,12.04695538,12.79949371,11.91817124,11.83588263,11.8095472,12.39234631,12.71389478,11.8899062,11.89435017,13.4622345,11.85386976
AARS2,10.13044594,9.993920473,10.20358436,10.05938653,10.06102966,9.722517256,9.859546634,10.07566939,10.06349755,9.806176419,10.15023179,10.3160774,9.924781983,9.754350808,9.664071262,10.1116238,10.08253606,9.979859654,9.871766923,10.39183202,9.745962549
AARSD1,9.322342017,9.223467926,9.051283813,9.101174212,9.441206019,9.16143425,9.241962107,8.978241585,9.104542167,9.230096128,9.230940771,9.1780756,9.009490066,9.222314031,9.172000417,9.205742345,8.984102746,9.075838051,9.092178554,9.531241497,8.974612519
AASDH,9.669205494,9.849154642,9.502506438,9.441232468,9.56840933,9.696967526,9.812703581,9.544822688,9.560464322,10.10947303,9.918532073,9.738486772,10.02759079,9.958849545,9.8138339,9.719358591,9.847394938,9.9777908,9.596262881,9.870528925,10.02136074
AASDHPPT,10.40014005,10.20475131,10.22005805,10.27147388,9.733868401,10.33873638,10.16904624,10.25771018,10.36333347,10.29831133,9.965514588,10.88990202,10.48612045,10.38596796,10.84160103,10.85911692,10.84910654,10.77493119,10.78934479,11.27333521,10.37909561
AASS,11.15264421,11.00903541,11.35316628,11.71745955,10.81990855,10.73453181,10.71760802,10.69136819,10.88431206,11.05308686,11.71881995,12.14502283,11.3032375,11.79795356,11.64341665,11.62456799,11.6855512,11.68344432,11.67846899,12.13504091,11.71890162
AATBC,5.977140628,5.854584604,5.676022756,4.954456773,5.614284663,5.129283017,6.054741881,5.103033048,5.649316844,6.008119822,5.439637162,5.230525003,5.565091907,5.347649248,4.694357812,5.546262788,5.117086855,4.105622464,5.250531127,4.705925312,5.737098114
AATF,10.27663827,10.3646746,10.21140302,10.27965562,10.44327101,10.11243951,10.34072158,10.24922981,10.40596007,10.15468789,10.38071277,10.0944834,10.15725808,10.14630806,10.30293328,10.41898627,10.08182948,10.05471007,10.27935166,10.36645298,10.05438803
AATK,9.795541539,8.29896631,9.668325429,10.34872064,8.806760215,8.412273445,8.663984637,8.922040401,9.14882919,8.555489946,9.344309883,10.23105202,7.164244068,7.768900434,8.614949212,9.341897383,9.701312665,8.524358705,8.461746721,10.41317462,6.7822947
ABALON,7.583635514,6.88121631,7.86111139,7.432817377,6.987027846,7.016028242,6.960354721,7.48866041,7.938038391,7.117196249,7.958885126,7.071576346,7.33216345,6.731978619,7.39027999,7.288475617,7.841579646,7.459920006,7.365807935,6.764575843,7.080948302
ABAT,11.9503601,10.29094617,11.76493537,11.34173811,11.27728201,11.48984796,11.7094469,11.05957629,11.97736983,11.59974677,11.55729063,13.4805762,10.43036313,9.598959367,11.37005296,12.61800617,13.13121128,11.34789967,11.08937124,13.76020627,9.979778109
ABCA1,12.79762523,13.22983379,12.8972922,12.81657646,13.2664035,12.92109709,13.14645746,12.4516199,13.01490024,12.97871822,12.43139604,11.99355918,13.22903453,13.45189975,13.00135591,12.68945953,12.96833477,13.0539341,12.62459182,12.50599508,13.60431123
ABCA10,10.53704291,10.59499293,10.15723763,9.826206533,9.841641286,9.603626345,10.47414347,9.135352134,9.941165144,10.72720387,10.55252818,10.59317758,10.61494349,12.49228759,10.4912367,10.20636296,10.32387515,9.867156023,9.58737769,10.4402494,11.5116076
ABCA11P,8.902452372,8.937710665,8.88837812,8.512630674,8.33651247,8.792595103,8.984867095,8.492293817,8.508599444,9.18242277,8.515178003,8.977706297,8.643893533,8.700076646,8.950952366,8.359857518,8.608553038,8.909425377,8.711649388,8.550758055,8.723609405
ABCA12,4.194161099,6.43920795,4.685198524,5.188495953,5.156850346,4.906890596,6.916816537,4.182687079,7.912277759,6.690335771,5.110588743,3.338320657,4.232813922,4.672086496,3.901835464,7.148345028,5.677906684,4.766480073,3.973609508,2.572270869,5.307760478
ABCA13,6.108037368,7.146007877,6.076020521,6.194004721,6.456027739,5.612352499,6.999882987,6.973143732,8.692862279,6.52945754,5.240201147,6.104037897,5.35175289,5.712372884,5.952521716,7.753866926,6.870493046,5.51768412,5.458801223,4.615067084,4.933852883
ABCA17P,3.880060079,4.167507326,3.890590961,4.252736515,3.66488317,3.906890596,4.29869713,2.815946847,4.635936111,3.550703524,3.99330222,3.12395031,3.687274019,3.879702727,3.580323912,3.374871766,3.537822077,4.195394815,2.980207131,4.328118897,2.839362294
ABCA2,11.00113053,10.67416717,11.16592304,10.54746034,10.62728497,10.61194694,11.24018045,10.47386422,10.87725258,10.83285299,10.8315059,10.71326508,9.845958201,10.5865083,9.698241605,9.870895616,10.62885328,9.891085629,9.648447409,11.07034461,10.50971682
ABCA3,9.914291402,9.458037529,10.19393903,9.917635243,9.709590363,9.698704667,10.06325936,9.675179022,9.537946917,9.549909354,9.918532073,10.22619372,9.14972455,9.1623798,9.591200197,9.342107805,9.973811676,9.685893723,9.710296699,10.35667777,8.996229856
ABCA4,4.194161099,4.245464613,4.556923297,3.528133278,4.262886419,4.584962501,4.6751742,4.405760134,4.18963368,5.120519647,3.535946457,3.338320657,2.797366707,4.898704845,3.695651713,3.536702392,3.133172619,2.881484858,4.363338568,3.110034846,3.625835575
ABCA5,12.55957179,11.1967179,12.36443366,12.42701878,11.12378381,12.04757724,11.90967954,11.92594907,12.31091354,11.94787994,11.77499712,13.60432669,11.95313348,11.87277086,13.09576287,13.3548113,13.38909451,12.63489485,12.5114058,13.83725465,11.80256115
ABCA6,11.61658682,11.92566549,11.33188701,10.92789776,11.19318874,11.07547915,12.03431213,10.25529229,10.69897666,11.18725468,11.7186374,10.74342363,11.84454783,13.64352698,11.67661555,10.81942555,10.88702614,11.13829616,10.40157741,10.61838214,12.70836002
ABCA7,9.214469764,10.15019469,9.612928576,9.543385814,9.719754824,9.405141463,9.991762305,9.761101785,9.838950524,10.16635251,9.28302573,8.489746269,9.229141478,8.093439098,8.720021563,8.687435625,9.436640706,8.451033476,8.784011849,9.870528925,9.172173739
ABCA8,12.18714895,12.44012474,10.74256902,10.64609826,11.64464289,10.69522829,12.35110483,10.77940409,10.561274,12.1890255,12.13133419,11.13399437,11.30779949,13.8344663,11.27310719,10.32575992,10.64409467,10.55343072,10.09659375,11.40836635,12.25415683
ABCA9,11.34659777,11.36839545,10.90002478,10.93826821,10.72392698,10.76275575,11.43040163,10.18282178,10.85626942,11.1415842,11.16754423,10.69907674,10.97172331,12.84037945,11.35985464,10.72267481,10.84182064,10.25637201,10.34698066,10.37573282,11.99886555
ABCA9-AS1,0,0.999420211,0,0,0,0,1.576443107,2.002498705,1.972554224,0.9904437,0,0,2.000054152,2.377763725,0,2.222424632,0,0,0,0,1.612728405
ABCB1,10.88518238,11.33750232,10.52415772,10.39695325,10.661656,11.23667797,10.25407279,10.50270438,10.21308284,11.17787608,11.66273817,9.835716699,10.97260778,9.787758614,11.35411821,9.56611117,9.512225773,10.61276585,9.780533219,8.46807194,10.78508208
ABCB10,9.404008344,9.533628115,9.370397047,9.534386728,9.21211731,9.674192268,9.648298504,9.774657954,9.410165216,9.645032129,9.514218532,10.10637525,9.98670949,9.888298288,9.981421727,9.802280073,10.03506533,10.14829877,9.998339386,9.555704859,10.12678103
ABCB11,10.3702926,10.36091259,10.366544,10.34396417,10.26127497,9.978209933,10.05508629,9.940432947,10.21968311,10.00128453,10.32327367,11.19775468,10.37003887,10.35089861,10.37487725,10.75181592,10.93279129,10.75679564,10.46741809,10.93835875,10.28724222
ABCB4,6.249302064,8.456123565,6.905017237,6.234306278,6.881243575,7.009996526,7.273484941,6.267049329,6.466909734,8.51197282,6.369728608,4.734567929,7.185744378,6.885013179,8.068551257,6.216192106,5.125784868,6.271968327,6.433008983,5.206611092,6.91156131
ABCB5,7.118894345,7.181304092,7.345694574,7.437892284,7.269453024,7.215387388,7.696633351,6.778238227,6.988108347,6.548724671,6.774343703,6.49967327,6.843215174,8.333620095,7.9291301,7.189764693,6.783512934,6.365995283,6.816436329,6.620461954,7.414317266
ABCB6,9.186839337,9.11883125,8.461804209,8.712689883,9.013543345,8.977279923,9.426813996,8.592270492,8.77574132,9.00062032,9.113078557,8.157650417,8.655595052,9.265538779,8.134119856,8.480800164,8.352377,8.431223277,8.411739481,9.14767268,8.884790715
ABCB7,10.42335794,10.31052642,10.34670832,10.34011918,10.3349052,10.33774454,10.2792141,10.29016324,10.30732271,10.37698822,10.24878232,10.54145686,10.44127591,10.54557882,10.63767344,10.43581894,10.31860519,10.52717548,10.43161074,10.55541325,10.59252388
ABCB8,9.172832534,9.270746213,9.326231636,9.248877262,9.348522916,9.37286506,9.385987904,9.242519594,9.333657489,9.26812843,9.14926698,9.151451559,9.02306488,8.657294261,8.596193275,8.874302562,9.084216332,8.815504936,8.976556345,9.547591939,8.965248999
ABCB9,7.976592218,7.370763467,7.711883963,7.788282131,7.512555606,7.965784285,7.300397287,7.585386708,8.052860824,7.304561342,7.581918712,6.952528495,6.78313521,6.663416674,6.467354469,6.945333106,6.973053268,7.496641578,6.896710412,7.278196181,6.260396332
ABCC1,11.05174875,10.99009786,11.38699882,10.87985681,11.12681467,10.63481105,10.66601977,11.1774876,11.37553912,10.96831364,11.12490387,10.98348081,10.97065703,10.45948874,10.52261435,10.43283953,11.42799206,10.74191613,10.87468271,10.98166499,11.05536147
ABCC10,9.646226968,9.583155208,9.993522668,9.583214148,9.934315566,9.509775004,9.699128152,9.881900372,10.03652667,9.640003707,9.518862959,9.449509537,9.407279743,8.855126333,9.046271573,9.229358789,9.833114292,9.2719561,9.521724531,9.913151231,9.215014059
ABCC11,3.880060079,0.999420211,3.53506139,3.232877282,1.620296556,2.584962501,2.983874582,4.012242021,2.768829905,3.139632247,3.395401665,3.12395031,1.992884252,2.366049645,2.318923748,2.98886026,2.232117211,1.026405616,2.980207131,2.572270869,2.614434319
ABCC12,3.62735338,0,2.868729054,2.863106839,1.620296556,0,0,1.003060505,4.26261876,0,3.535946457,6.373878393,0,0,1.582911715,4.258614023,3.860928428,0,0.993402377,5.267544086,0
ABCC13,2.337812733,2.320581867,1.021861907,2.863106839,3.050193737,1,0,4.012242021,0.986277112,5.34078682,0.999831115,1.112773552,0,2.368986927,2.324675566,2.752089388,2.232117211,1.937366538,0,1.107816764,3.267964042
ABCC2,6.628796222,7.104403015,7.18718704,6.553885446,7.097286112,5.95419631,6.678155513,6.620111911,7.000626584,6.41384938,6.40539375,6.843275949,6.821134659,7.356348008,6.885896547,6.78720808,7.430954222,7.125835877,6.511344145,7.407417377,6.660039343
ABCC3,12.57507886,11.50260722,12.97720932,12.50830405,12.29851795,11.90876788,10.79186557,12.89323373,12.36875779,11.34941434,12.70858836,12.33783541,12.03318212,9.188146737,11.99743004,11.83920024,12.67385175,12.99200112,12.22543685,11.93648973,10.71888361
ABCC4,10.84408181,10.68117926,10.68809474,11.02771695,10.63056608,10.77889848,10.50261897,10.4831971,10.38782159,10.8145193,10.4164625,10.58442679,10.9043127,10.40717482,10.66741794,10.27502602,10.55728006,10.88457299,10.57183945,10.32448901,11.17858121
ABCC5,10.97677393,10.68292697,11.18697316,10.91735673,11.52572133,11.19967234,11.54447931,11.16850329,11.21357364,10.97492591,10.88295623,10.62353166,11.5305818,10.88420456,11.04368377,10.62082151,11.28461998,10.82638121,10.6392852,10.61212678,11.70464354
ABCC5-AS1,0,1.584043557,2.372689871,1.616438641,0,0,1.989249722,1.589813287,1.972554224,0,1.022117749,1.763704352,0,0,0.998706098,0,0,1.026405616,1.574505516,0,1.011401256
ABCC6,10.4278762,7.948944882,10.50268109,10.2837973,10.08966702,8.67380373,7.544192271,9.820851106,10.29048882,7.159261548,10.1789024,10.62318823,8.259329366,7.988871255,9.064964359,10.55929544,10.55842321,9.332938354,9.281300153,10.34397879,6.162863465
ABCC6P1,6.92230043,3.470474462,6.259696191,6.37625957,4.829420432,5.192194165,3.2823851,6.63288542,7.009014561,4.508629578,5.278115083,6.852969427,4.515570166,3.949428091,6.259987184,7.418479561,6.881294812,5.927273869,6.241542884,8.218462328,2.315941454
ABCC6P2,6.339623165,4.457501332,4.992880978,4.719507562,4.182052081,4.526694846,3.010530588,4.983757882,5.597370547,4.740336397,4.917889937,4.787506854,3.701578238,4.095178127,4.899580689,5.189969679,4.954879608,4.214435046,3.403659551,6.406720043,3.002862776
ABCC8,10.08526458,11.69365594,12.04477451,11.35095875,10.97920584,12.7807448,13.70084804,11.27758378,10.48438916,12.94787491,11.6019964,10.12989791,10.61672817,10.93090659,11.45835319,10.45168603,10.23696665,10.95695685,9.749033562,10.64316158,10.93138637
ABCC9,14.51445235,14.28439294,14.21108106,14.27947888,13.51690194,14.03327415,14.30519248,13.93508005,14.03325433,14.1757649,14.0351615,14.93438275,14.35450586,14.77962086,14.43822028,14.45645043,14.88452681,14.43095957,14.06511188,15.01232904,14.78355247
ABCD1,9.217888351,8.766403859,9.695262309,9.552330193,9.049083799,8.596189756,8.54998404,8.788366007,9.772420859,8.21079694,8.6465352,9.27042397,8.310177866,8.000948898,8.113609498,9.557692542,9.066995502,8.98263397,8.399542159,9.819894011,8.185024735
ABCD2,7.096713852,8.663858863,6.66617946,6.072442084,7.466606174,7.409390936,7.934400933,6.891391508,7.239126064,8.378590752,6.862749512,4.548420547,8.269680481,9.461844522,7.914558576,6.67195626,4.976987034,5.34701219,7.228119279,5.207225919,7.966319131
ABCD3,11.70960607,10.8975599,11.44433049,11.56675269,11.03172527,11.41837972,11.0265467,11.53653953,11.46436827,11.45128702,11.45862615,12.25311136,11.46882467,10.96773619,11.89792355,12.0954124,11.93747241,11.99688576,11.54925169,12.20537607,11.17514226
ABCD4,9.870568015,9.831924188,10.01681806,9.921109497,10.08883124,9.729620744,9.936405764,9.932681386,9.895735462,9.548119864,10.00104894,9.768012071,9.985326554,10.14334712,9.661674815,9.56680812,9.953974067,9.777048053,9.737843057,9.979688246,9.85933449
ABCE1,11.02714707,11.26367921,11.10089103,11.21052753,10.93274379,11.35590164,11.36118719,11.42123335,10.99297777,11.40074916,10.85511518,12.06942059,11.59702782,11.75394986,11.83829961,11.90006563,11.83735948,11.68817226,11.63310249,12.10347128,11.78341637
ABCF1,10.8672126,10.78815739,10.81444914,10.93139472,11.05403654,10.83526092,10.7887529,10.98699211,10.82663994,10.71044145,10.79487986,10.7788816,10.7600522,10.64138153,10.67442076,10.97602014,10.80286706,11.02510204,11.01562859,11.01285919,10.60232513
ABCF2,10.28507713,10.6394502,10.36780663,10.2687502,10.74199748,10.72024426,10.81646568,10.58835299,10.31288329,10.56254343,10.43652085,10.07058356,10.46942155,10.3538682,10.34372199,10.41202997,10.33966089,10.44780924,10.37198425,10.22264093,10.51705381
ABCF3,10.43889989,10.24672105,10.45612116,10.53264992,10.61960054,10.36959735,10.45131378,10.30874109,10.59904111,10.27804279,10.44023686,10.53982968,10.2919268,10.11793534,10.23348232,10.46862082,10.69107799,10.29269903,10.3750741,10.90526077,10.17403362
ABCG1,9.313808984,10.24790242,10.129604,10.10669596,10.27667304,10.39231742,10.58933198,9.980278209,10.05364075,10.2109559,9.728178807,8.651577416,10.0528936,9.823430002,10.24998954,9.39721579,9.361518874,9.970756154,9.63126283,8.641967684,10.17403362
ABCG2,8.258845244,8.792560741,6.832680179,7.888315024,8.245908992,8.577428828,8.876840394,7.791958894,7.712863523,8.868627324,8.249984938,7.310761565,8.546911416,9.442875106,8.082285909,7.756429013,7.263080211,7.515268116,7.071972983,6.900389766,9.516669809
ABCG4,1.048540275,0.999420211,2.64147471,2.636297874,2.373691551,2,3.786889859,2.815946847,0.986277112,2.560259824,2.373283917,1.112773552,2.313666967,2.86070061,0,1.064653506,2.232117211,2.653220028,1.986804754,1.755848029,2.348400991
ABCG5,2.710437291,2.998260634,3.394551777,2.636297874,3.782934756,3,2.983874582,3.918847655,4.791315466,2.560259824,3.066353246,3.849564012,2.313666967,1.615080144,2.318923748,2.472048886,2.232117211,2.881484858,2.788833053,3.511696058,2.348400991
ABCG8,3.483175397,1.998840423,1.619612803,2.368039807,2.044586614,1.584962501,1.989249722,2.592873792,4.791315466,1.9808874,3.240036606,1.112773552,0,1.019002117,1.582911715,0,1.116058605,1.026405616,1.574505516,2.572270869,0
ABHD1,4.194161099,4.456846091,4.622455646,4.16863672,4.624407111,4.087462841,4.435461553,4.598994803,4.580129072,3.665077206,4.177868317,4.548420547,5.0264468,4.076008469,3.454955454,3.683096,3.860928428,2.653220028,4.142413408,4.328118897,4.134065051
ABHD10,9.731261934,9.946970761,9.680819022,9.52078405,9.869869793,9.850186838,10.16544237,9.740526409,9.921301204,10.3915898,9.787328616,10.03985228,9.888021535,10.21704862,10.00662636,10.29589808,9.990158336,9.951236766,9.69549612,10.40258659,9.904440402
ABHD11,9.511006142,8.829033038,9.727633139,9.55727096,9.228461357,9.44852933,8.737643961,9.240496123,9.533698077,8.58593719,9.782236993,9.360059815,9.237731768,8.566373977,9.297180997,9.545945102,9.514718678,9.427763795,9.508206284,9.360245694,8.651229073
ABHD11-AS1,4.285869411,4.085092977,2.868729054,5.099296167,4.490236703,3,3.440836692,3.179626574,3.535766462,3.9617748,5.511583344,1.763704352,3.310109093,2.634082262,2.581617814,4.676296142,4.464234422,3.550780041,3.973609508,2.572270869,1.603033064
ABHD12,11.06489856,10.17400689,10.8401715,10.91028719,10.83336631,10.52258153,10.04244391,10.52094551,10.7557336,10.07769104,10.72902055,11.75444544,10.62118021,9.743945277,10.73930314,11.06307392,11.41596112,11.14389462,11.02284864,11.65382939,10.30224873
ABHD12B,2.943624701,2.583463769,3.53506139,3.38789904,3.066879921,3.584962501,2.983874582,2.815946847,2.768829905,1.569816124,2.373283917,3.338320657,3.793808832,4.845240433,3.901835464,1.064653506,1.768911038,3.550780041,3.149011031,1.755848029,4.442395357
ABHD13,9.633308667,9.967197565,9.733766857,9.71469035,8.983813968,10.08081753,10.14728599,10.04326823,9.602790379,10.46413879,9.22475533,10.46105001,10.51512403,10.80794937,10.65596525,10.30716441,10.30258384,10.47025962,10.54741742,10.25548944,10.79767635
ABHD14A,8.763229875,8.63884458,8.135620455,8.233941667,8.432237664,8.496534252,9.153537903,7.995940506,8.395804204,8.639280654,8.632476412,8.099783012,7.853378808,8.744261563,7.872443685,7.942582486,7.462526454,7.889467308,7.329744854,8.107354082,7.90286811
ABHD14A-ACY1,0,6.371169527,5.917103033,4.056265654,4.917683788,5.454175893,4.57518767,0,5.146400037,6.230639785,4.030193518,3.947233711,5.734944669,0,0,5.304918718,0,0,4.946260459,4.573575408,0
ABHD14B,10.96498502,10.73439675,10.47922305,10.63545941,10.65440705,10.53527538,10.73800939,10.49861938,10.55103115,10.42784104,10.64719364,10.47052138,10.11868854,10.64770459,10.3130681,10.71976009,10.20881677,10.23926638,10.00101322,10.97501948,9.998405727
ABHD15,9.752106099,9.980521427,9.975466796,9.774660986,9.810996829,10.10915158,10.55851428,10.11469994,9.593720381,10.57271982,9.760728935,9.921986167,9.550748097,9.63472619,9.822771628,9.649346637,9.793838171,9.774574656,9.705790495,9.523085714,9.905739399
ABHD16A,10.43737573,10.57976386,10.24713514,10.53608097,10.55549066,10.64475759,10.73477754,10.73144811,10.61141062,10.78920187,10.60673106,10.03676202,10.14863884,9.784224764,10.15676612,10.13929362,9.729437792,10.11349226,10.37198425,10.12777946,9.940189583
ABHD16B,7.327917362,7.542518856,7.50031312,7.448828234,6.791969715,6.894817763,6.857757158,7.151102226,7.601591907,7.178664144,7.474627462,6.701531626,5.680158271,6.224599355,6.058240268,6.262976545,6.645232031,6.08734211,6.367104191,6.40468721,5.847274475
ABHD17A,10.19475528,10.58351139,10.06872169,10.36163859,10.57717174,10.1959873,10.40524754,10.19979339,10.10612573,10.23883249,10.10901466,9.343519731,9.012215303,9.634998458,9.018982341,9.403967319,9.468435605,9.17563431,9.258184437,9.720856206,9.144745421
ABHD17B,9.171354268,9.233525775,8.857968612,9.128753095,8.877105418,9.1862876,8.922176424,9.139203517,9.196070467,9.401384232,8.979599794,9.376897869,9.534861191,9.53372845,9.346871196,9.227924044,9.151752954,9.366720272,9.567598034,9.002270324,9.550667803
ABHD17C,7.327917362,7.17574626,7.605660433,7.217355729,7.961520661,7.672425342,8.155597965,9.123233534,9.742495527,8.224427328,8.050727768,8.291510659,6.906078646,7.109863016,7.552457626,9.694637416,8.632389233,7.317536126,7.628813785,7.97591772,7.42353351
