Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
Q9BTE1	DCTN5	42.6532	49.4887	45.5589	40.4542	38.6875	48.9982	51.8489	55.0532	36.5406	56.833	36.0655	45.0082	52.2255	55.963	56.4996	50.4662	48.688	51.1211	67.1455	33.1118	47.0189	38.6453	34.5488	36.8911	45.6474	49.8642	25.259	34.2073	32.9921	43.0952	31.4842	38.2951	33.5904	35.1721	27.5245
Q9BTE3	MCMBP	15.0981	14.0888	14.5122	16.6791	17.4005	21.1304	20.0869	12.3698	15.7784	NA	NA	NA	NA	NA	13.143	NA	NA	NA	19.5886	19.9639	12.132	26.1323	NA	NA	NA	NA	24.0593	15.9918	25.7837	25.7141	24.5247	16.5851	NA	16.2352	17.124
Q9BTE6	AARSD1	50.5315	38.9246	53.4378	56.8973	51.4042	61.6548	56.6561	50.3022	54.3452	26.203	50.353	44.1591	59.7015	47.9048	52.0561	58.716	55.4539	66.642	57.4949	69.5449	59.8123	59.7576	50.9662	51.2941	59.1761	64.7739	54.3138	44.0015	54.1466	57.2946	52.7802	50.7884	44.9961	50.4198	76.2467
Q9BTE7	DCUN1D5	13.2001	10.9058	21.3631	12.2511	15.3888	24.6185	15.8761	18.7583	14.8872	13.0065	NA	13.2182	15.8121	16.3061	9.37453	10.2191	8.40879	16.2321	16.5774	14.7824	13.4878	16.226	11.4018	16.697	13.4822	14.1838	48.9618	14.6471	13.6197	9.87802	30.0982	42.1218	24.0002	22.6184	32.849
Q9BTM9	URM1	144.804	108.338	140.721	92.1133	104.941	133.97	124.8	129.115	59.4257	139.262	75.3731	100.198	98.8483	136.093	105.022	87.6295	101.387	94.4202	123.871	126.578	82.1787	95.8992	65.09	82.8641	105.31	98.0584	74.3184	64.5247	125.706	113.617	120.505	115.033	110.365	96.5693	127.423
Q9BTN0	LRFN3	40.5728	38.2017	28.1521	33.1607	36.8616	32.3535	22.3572	34.7041	43.6042	26.406	NA	NA	22.1152	31.0186	36.8321	37.0844	41.4927	42.4479	36.0529	36.8982	46.0858	35.935	40.4662	35.1941	44.8206	44.4914	NA	37.9532	32.1218	NA	25.2737	34.4903	NA	25.0803	NA
Q9BTT0	ANP32E	99.6637	119.881	89.5872	92.4861	94.3692	103.621	123.112	105.897	187.025	37.2507	56.0817	133.794	76.8764	123.686	50.9064	66.292	37.3541	53.7291	93.8178	73.2629	90.45	98.7259	45.6093	85.237	92.5473	101.039	223.912	107.514	181.611	149.689	170.089	140.632	126.671	188.833	227.815
Q9BTT6	LRRC1	14.1259	11.8921	17.5541	19.5715	12.8883	11.7187	12.5093	NA	8.30589	13.1974	NA	16.8368	12.2414	14.1674	19.1156	NA	3.8409	NA	10.8799	5.74602	8.9041	7.86285	NA	NA	10.4886	NA	NA	21.8812	NA	9.36725	12.3441	16.8616	13.1411	21.0748	NA
Q9BTU6	PI4K2A	48.4896	49.4526	61.0218	44.2432	51.2864	43.8804	47.0416	59.5704	45.0896	56.5218	58.3163	92.3822	99.874	55.3288	65.2282	49.5649	55.7811	67.7127	46.0869	50.7092	46.9255	50.9843	54.2482	39.1356	54.6874	53.4047	85.7121	91.5677	63.1795	65.4677	69.2761	48.9482	40.0985	63.7791	84.194
Q9BTV4	TMEM43	273.04	190.746	156.906	93.9887	220.879	135.378	258.008	215.47	149.073	226.583	130.901	163.668	217.918	337.884	195.146	63.9593	65.3605	59.5775	87.955	84.5808	73.5051	73.6561	93.978	84.2293	100.791	112.381	164.53	352.561	148.068	121.05	82.5958	132.649	111.805	161.196	149.663
Q9BTV5	FSD1	67.5996	75.3535	71.9268	70.7766	90.5739	109.094	99.92	76.3289	74.6855	119.971	51.932	118.372	51.5195	97.9688	119.633	107.92	136.766	127.008	120.278	89.1825	109.425	103.173	115.084	128.545	92.4623	82.2978	56.067	113.567	67.1471	123.375	93.0396	168.171	77.009	149.968	108.135
Q9BTW9	TBCD	104.441	92.048	117.429	121.961	97.3029	108.06	110.216	105.325	107.054	121.166	91.724	79.3145	93.2452	92.842	110.742	127.246	122.431	108.261	107.532	126.943	107.903	102.556	102.039	111.442	105.697	109.099	89.7426	85.3171	105.88	114.879	79.7029	69.022	108.872	99.5626	124.127
Q9BTX1	NDC1	14.1839	NA	NA	NA	20.3075	12.1628	4.3588	NA	NA	NA	NA	17.168	NA	NA	NA	NA	NA	NA	NA	13.4686	NA	NA	NA	NA	NA	NA	28.4686	37.6122	11.0016	NA	NA	6.06275	NA	11.9531	17.1951
Q9BTX7	TTPAL	28.6793	NA	38.7148	62.2448	30.603	45.5446	47.5692	38.7281	30.1698	27.2734	52.4509	46.4415	52.5215	47.7822	NA	74.441	55.6957	78.5508	46.9582	61.52	64.2547	78.4017	78.769	56.643	64.2306	76.1232	NA	42.1055	23.2706	33.1471	26.9789	22.8882	34.538	45.2923	43.1341
Q9BTY2	FUCA2	28.9725	19.9241	NA	NA	23.8472	NA	NA	NA	NA	36.3716	NA	34.9391	NA	15.8598	NA	20.2682	NA	NA	26.4916	NA	17.0696	NA	NA	NA	NA	NA	28.1056	NA	NA	NA	30.2035	NA	18.7002	NA	NA
Q9BTY7	HGH1	24.4286	27.4045	20.3009	18.617	41.8112	32.1046	19.5606	30.9901	33.7718	16.88	NA	23.1349	NA	26.5348	25.5255	14.9065	21.7024	20.1125	26.271	24.885	30.5285	30.5899	NA	NA	22.4349	24.8868	44.9225	33.6409	29.7338	33.9425	23.1637	38.3755	45.7122	24.8078	44.4527
Q9BTZ2	DHRS4	110.913	145.338	134.189	214.305	20.0512	107.768	98.0326	149.368	123.252	NA	94.2628	62.9101	62.6354	93.2061	61.0309	43.6058	53.4465	76.7522	109.835	164.055	65.9679	32.6312	71.5005	73.7568	113.096	63.2419	82.044	92.2207	84.937	73.2685	61.4392	47.98	97.3078	97.5047	66.7191
Q9BU02	THTPA	89.4403	53.5639	103.522	77.4369	49.2683	60.6949	52.8131	67.7784	59.9863	71.8881	NA	63.845	75.0982	63.3277	67.2049	36.5446	40.5359	39.7434	66.1112	108.529	40.9296	50.0649	NA	51.7814	44.3136	44.9331	43.2991	41.9735	67.2733	55.7214	46.8126	43.4792	60.5905	36.3407	NA
Q9BU23	LMF2	85.6086	74.1234	63.6742	49.5876	94.0884	75.1172	63.5821	78.086	52.5909	62.8448	27.7452	66.6002	74.3451	63.2208	73.4806	47.7172	34.0205	42.6534	57.6963	60.9692	59.0471	42.4635	50.9213	60.4746	66.4971	53.2211	191.918	94.0771	74.0428	47.9296	75.1099	90.4813	55.2803	49.0112	45.7729
Q9BU61	NDUFAF3	51.7206	52.0573	61.599	79.8993	62.0807	61.2897	67.7791	57.4133	47.4709	66.369	NA	70.2011	76.0825	56.4443	59.0284	83.2093	68.0409	94.512	39.5985	NA	73.6675	74.4992	75.5569	54.104	64.0352	78.5594	65.6625	83.9702	50.1424	NA	65.0259	86.9526	87.8123	122.326	68.8096
Q9BU76	MMTAG2	NA	NA	NA	NA	NA	NA	1.874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.59415	NA	NA	4.28516	4.71492	NA	NA	8.99634	9.23051
