Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
A0A075B6H9	IGLV4-69	NA	3.07002	NA	NA	NA	NA	NA	NA	6.68424	18.4663	25.8272	4.2262	7.98329	NA	NA	NA	NA	35.6179	7.51608	NA	NA	NA	NA	5.14551	NA	NA	NA	NA	10.2195	6.45138	11.9915	27.2598	NA	NA	10.189
A0A075B6I0	IGLV8-61	41.6173	NA	71.1353	NA	53.8011	NA	NA	NA	NA	74.7495	NA	127.605	NA	90.6744	NA	25.6051	NA	112.09	62.538	NA	NA	NA	116.221	NA	85.9641	NA	NA	NA	70.8983	95.9375	107.961	149.546	50.4868	64.8066	109.323
A0A075B6I9	IGLV7-46	NA	NA	NA	NA	NA	NA	NA	NA	82.7904	NA	132.926	223.918	NA	155.94	203.833	NA	NA	214.348	213.159	NA	NA	NA	195.769	NA	158.143	NA	74.3651	NA	82.9066	141.497	83.3747	133.499	184.058	123.29	113.004
A0A075B6J9	IGLV2-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.98657	12.249	11.7178	NA	16.6108	NA	NA	NA	NA	12.8931	NA	NA	NA	12.9946	NA	NA	NA	NA	NA	14.9296	NA	11.1657	23.8743	15.2512	7.60694	NA
A0A075B6K5	IGLV3-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.97	NA	45.8406	NA	80.5315	44.4945	NA	NA	37.4928	20.6149	NA	NA	19.9059	17.8717	NA	10.488	NA	NA	NA	NA	22.468	NA	32.0948	31.9584	14.9198	NA
A0A075B6R9;A0A0C4DH68	IGKV2-24;IGKV2D-24	NA	7.97102	NA	NA	13.1572	NA	NA	NA	17.3639	NA	NA	29.785	38.7666	34.6315	NA	NA	NA	35.9537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.8274	32.8436	14.5477	NA
A0A075B6S2;A2NJV5	IGKV2-29;IGKV2D-29	48.9582	29.6084	29.7802	32.1925	59.9205	NA	47.3518	NA	143.139	189.696	140.072	383.208	295.751	256.294	217.283	21.1754	NA	590.708	163.462	33.0631	90.1788	127.149	155.515	89.8414	38.5831	90.3882	74.601	87.9673	193.217	202.257	214.675	333.379	274.651	155.269	168.336
A0A075B708	TRAJ61	NA	NA	478.597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	188.88	NA	NA	NA	NA	NA	NA	NA	NA	238.937	NA	NA
A0A075B7B8	IGHV3OR16-12	NA	NA	NA	NA	NA	NA	16.3323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B7D0	IGHV1OR15-1	50.2272	22.7794	15.0437	19.3043	28.8247	NA	18.7296	NA	42.4991	178.032	58.4454	393.919	66.3386	194.524	154.9	21.6573	15.2794	432.168	110.268	19.8187	25.1193	46.1202	110.456	25.9024	46.2622	31.0095	42.3892	97.8802	97.9881	96.5149	59.9845	111.819	131.654	76.3127	102.906
A0A0A0MRZ8;P04433	IGKV3-11;IGKV3D-11	97.9605	87.3291	59.9079	66.6413	122.552	42.1502	91.6651	32.934	258.799	303.61	172.062	691.649	343.691	310.147	237.231	54.581	37.5594	735.304	292.998	75.1698	127.218	168.107	342.719	112.026	91.5198	132.145	166.563	130.75	366.357	144.019	257.514	478.792	528.133	344.073	301.521
A0A0A0MS15	IGHV3-49	36.3642	37.36	NA	NA	54.2407	NA	NA	NA	51.7392	159.683	NA	158.868	56.3559	231.863	89.709	13.8218	NA	266.111	97.012200000000007	43.618	NA	46.3624	79.6473	24.0677	37.7473	45.6007	NA	49.1525	81.9574	45.9326	82.6847	191.813	178.158	66.5423	135.376
A0A0B4J1X5	IGHV3-74	NA	NA	NA	NA	116.361	NA	58.8346	NA	NA	223.508	116.674	363.04	177.321	310.666	180.713	57.3674	NA	330.528	122.239	NA	NA	104.338	159.279	72.1812	96.9852	70.8698	68.7022	144.042	203.904	151.31	197.163	356.101	316.733	143.578	125.627
A0A0B4J1Y8	IGLV9-49	NA	NA	NA	NA	NA	NA	NA	NA	45.5688	53.799	NA	59.7102	48.9386	57.6373	88.131	NA	NA	87.5164	37.5074	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.6373	NA	48.8742	NA	47.1999	140.335	46.7118
A0A0B4J2B5	IGHV3OR16-9	44.8992	44.9348	36.9594	30.2406	93.2583	NA	48.7615	NA	122.886	277.41	213.193	422.171	292.159	551.393	179.855	40.2343	17.2437	419.785	232.901	58.9012	104.485	127.435	213.951	74.7848	89.9979	97.3924	83.4987	132.61	259.996	197.788	207.615	400.996	378.332	195.193	210.901
A0A0B4J2D5;P0DPI2	GATD3;GATD3B	1223.09	1004.78	1504.09	1663.43	902.296	708.775	510.944	721.821	2056.76	558.732	1096.42	995.567	727.176	611.957	575.652	1027.61	986.111	788.75	718.406	893.876	989.355	879.685	708.474	793.423	976.337	793.963	439.857	755.738	464.795	808.08	397.674	658.572	1123.35	1361.2	532.054
A0A0B4J2F0	PIGBOS1	48.8185	36.7239	43.9833	35.3675	33.1846	27.0591	27.0717	30.8453	30.5049	22.4277	NA	38.1754	NA	17.4311	23.5699	22.1487	NA	NA	19.7573	21.0872	22.5173	18.5265	17.4501	13.3171	27.174	16.616	18.6654	22.9517	17.9825	31.1634	19.7428	23.4622	43.0798	39.7508	23.6338
A0A0C4DH25	IGKV3D-20	32.3153	29.6109	NA	NA	44.3958	NA	NA	NA	82.2387	81.236	46.1453	265.1	111.577	125.729	81.2244	NA	NA	168.768	73.6756	NA	48.5405	64.9902	124.609	52.729	31.277	26.6519	61.0681	43.9172	119.159	83.3621	156.401	123.871	198.664	64.1958	85.4336
A0A0C4DH29	IGHV1-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH34	IGHV4-28	NA	24.998	15.1065	NA	29.8271	NA	NA	NA	55.3361	66.268	41.0067	111.045	40.9384	83.6845	76.0497	NA	NA	62.0124	29.0518	18.2949	17.056	18.1978	34.616	18.4864	20.2559	NA	32.8756	32.9365	57.6563	61.6944	47.0749	56.0056	48.542	49.2993	38.9332
A0A0C4DH36	IGHV3-38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.1241	NA	NA	NA	NA	NA	NA	NA	NA	NA	35.9269	NA	NA
A0A0C4DH38	IGHV5-51	NA	NA	NA	NA	20.2695	NA	NA	NA	24.3192	45.736	NA	54.3768	27.457	60.8325	47.9575	16.8344	NA	71.628	NA	NA	NA	28.427	29.2765	NA	22.6137	NA	NA	33.5958	73.825	64.8829	41.301	42.2453	43.5916	28.9163	33.2546
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	IGHV4-30-4;IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-59;IGHV4-61	30.0369	37.889	26.1705	NA	209.172	15.4222	NA	21.164	170.656	208.972	209.125	538.617	288.004	505.695	197.318	29.2893	NA	299.987	173.347	43.2924	57.4118	73.4797	304.17	57.7114	88.789	75.184	64.1471	73.4872	173.518	189.078	126.344	152.473	283.243	115.007	147.12
A0A0C4DH43	IGHV2-70D	NA	NA	NA	44.6592	NA	NA	34.2046	NA	85.8444	NA	74.1774	NA	58.1523	133.511	104.519	NA	NA	90.2719	102.896	45.1465	55.7195	44.1914	88.6879	50.6525	41.8788	NA	NA	NA	124.676	71.9174	56.6304	115.175	119.519	107.771	65.3802
A0A0G2JRQ6	NA	22.988	25.6686	NA	NA	NA	NA	NA	NA	NA	56.2473	67.3973	129.74	28.9969	69.1441	97.5808	NA	NA	NA	55.2813	NA	NA	54.9227	32.6934	NA	NA	NA	61.2188	NA	88.3249	131.151	78.7551	58.9904	NA	42.3132	44.7647
A0A0J9YXQ4	PNMA6E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76.6699	78.2292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29.3559	NA
A0A0U1RQS6	TMEM275	NA	17.0972	10.8369	16.0069	NA	NA	NA	NA	70.6759	NA	NA	12.7218	12.6961	NA	19.0371	18.005	17.8347	NA	19.9474	7.05873	12.8378	11.6354	NA	NA	13.628	11.4529	NA	NA	NA	NA	51.8532	NA	NA	NA	NA
A0A494C071	PWWP4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0AVT1	UBA6	178.401	194.145	220.077	180.741	171.609	157.819	190.708	180.587	186.565	229.348	166.252	153.535	180.613	227.224	190.99	134.569	126.904	130.453	218.128	203.821	156.862	149.763	148.747	166.767	168	113.896	180.077	188.54	217.253	178.758	185.012	183.346	186.753	175.962	125.471
A0FGR8	ESYT2	66.4332	68.5397	67.3712	48.6815	63.88	50.8355	73.699	66.0715	62.2704	78.9973	73.1806	61.6979	57.5171	61.8601	83.2779	72.6003	82.195	65.277	59.6229	50.5348	85.1887	70.3193	67.2052	64.5378	72.5811	75.1937	58.4066	81.1089	53.5595	67.0009	43.8237	41.0961	68.5581	28.5195	65.6384
A0JNW5	UHRF1BP1L	17.3097	26.6319	15.2701	24.9715	NA	21.7987	17.9234	NA	NA	44.1765	34.877	19.7628	NA	24.5015	30.1761	21.5733	27.9401	36.6797	25.7521	17.754	23.7518	31.4529	28.4944	29.941	30.9926	24.4133	NA	NA	NA	NA	NA	28.6776	31.9155	16.4266	NA
A0MZ66	SHTN1	22.1325	46.0175	79.8076	54.0878	49.9394	44.5553	57.9856	53.411	94.1318	208.69	63.0838	115.884	67.4168	116.98	80.5729	88.5655	90.0422	86.9125	130.062	101.297	86.6692	85.91	100.325	114.703	74.9627	66.3601	45.9534	108.849	61.8777	55.9785	38.3346	37.4147	63.4498	20.8007	70.4258
A0PJW6	TMEM223	11.0753	22.8137	46.2078	29.0553	25.9147	22.8683	50.673	23.7169	23.1529	NA	11.2016	25.9614	18.3125	21.0967	16.1436	14.6965	NA	NA	13.0843	17.8487	9.50674	16.0887	11.4999	NA	15.8913	21.0529	34.9422	32.0567	NA	NA	NA	NA	35.1387	40.557	NA
A1A5C7	SLC22A23	26.2283	31.2662	31.4372	26.3297	NA	NA	39.5761	30.4431	NA	29.7127	24.901	24.1948	31.4979	NA	26.9362	35.8755	54.3404	45.5157	45.7518	33.7804	32.7337	34.2003	34.1228	NA	35.0358	48.4289	NA	50.3955	NA	21.4737	NA	32.9592	29.7408	NA	30.7934
A1IGU5	ARHGEF37	12.8299	9.93617	10.897	12.3347	11.2678	9.70874	3.64119	15.2085	13.7209	14.3543	NA	9.32333	8.78099	8.75119	NA	NA	8.37659	NA	13.9973	9.7808	8.85313	11.9669	NA	NA	6.20323	NA	6.66172	13.8926	NA	NA	NA	6.41885	NA	NA	NA
A1L0T0	ILVBL	217.109	260.677	199.57	304.35	262.229	152.133	263.226	232.796	161.507	232.272	168.549	295.738	337.385	183.421	269.068	131.873	102.407	149.329	234.606	146.49	161.203	148.103	138.702	143.244	203.879	308.28	204.52	245.684	144.145	138.639	147.286	283.544	243.11	114.914	150.15
A1L170	C1orf226	22.0441	18.0718	34.7183	29.8495	28.8012	NA	21.5432	22.2291	24.8679	29.0038	NA	NA	57.1611	41.563	NA	NA	15.8131	NA	22.393	NA	NA	NA	NA	NA	22.3955	NA	59.0194	NA	24.5952	NA	53.9115	33.358	24.1745	38.5926	NA
A1X283	SH3PXD2B	78.6152	105.143	94.1506	65.8721	84.0841	104.537	98.7299	84.9178	74.66	100.196	94.6583	83.474	116.621	97.0816	112.37	46.9934	45.772	54.6339	80.7288	60.0823	65.4016	57.5789	55.6998	51.2431	68.8545	50.3859	155.746	100.261	141.934	80.9968	144.06	148.859	174.163	133.128	78.559
A1Z1Q3	MACROD2	20.6808	35.1227	55.1245	50.846	42.6844	46.8738	26.3284	28.8392	NA	52.9233	67.1848	45.2412	55.7494	40.7886	49.5231	81.4817	68.779	79.3841	65.6044	54.916	57.6161	71.4443	76.4487	58.5411	57.818	70.7315	NA	46.1438	NA	50.442	NA	48.8313	35.4977	67.6407	53.0504
A2RRP1	NBAS	99.6892	113.84	98.1165	85.1288	127.879	83.1212	121.74	102.679	86.4866	99.4212	49.5878	74.6713	107.274	93.4223	113.533	67.0544	68.1519	72.113	99.4765	64.0599	84.2063	86.4481	66.976	73.1337	110.401	104.961	117.565	159.858	85.5753	77.0033	75.9907	85.806	95.2733	101.819	78.2777
A2RTX5	TARS3	82.6806	78.0119	96.5421	69.4469	74.7783	73.2967	97.4599	82.95	93.1083	89.5429	62.3191	67.4508	72.2383	64.1091	91.1852	50.226	65.7494	65.1994	89.4033	91.4329	68.0382	78.2998	73.4831	69.8415	67.6233	65.7815	36.3384	65.0304	46.6527	62.9759	51.3546	62.693	64.2082	68.2922	50.6517
A2RU67	FAM234B	NA	NA	NA	6.46038	NA	NA	NA	NA	NA	NA	NA	8.09081	5.21322	NA	9.02142	10.5092	11.7173	NA	NA	NA	9.26708	9.31231	7.52787	NA	8.78012	6.66688	NA	NA	NA	7.17039	7.87146	9.61543	8.96785	NA	NA
A2RUC4	TYW5	28.7363	26.1587	40.9192	NA	37.8891	33.1517	22.2913	47.1072	28.0651	24.5803	NA	30.8859	24.9716	40.5541	35.6855	NA	23.1953	25.1845	38.8277	NA	17.3863	17.9139	NA	16.7366	NA	NA	27.2827	NA	NA	30.689	24.8426	19.7357	24.7266	NA	26.9851
A2RUS2	DENND3	NA	NA	21.6762	NA	NA	NA	24.6812	21.3808	28.8519	31.3016	NA	NA	33.777	45.5209	NA	NA	NA	NA	NA	16.1549	NA	NA	NA	NA	NA	NA	NA	23.9528	21.5836	NA	23.1488	25.9511	19.0538	27.8093	NA
A3KMH1	VWA8	34.5899	36.5457	42.6045	66.763	53.6698	36.6667	38.4555	36.4358	47.1429	27.4096	19.0311	37.3155	27.135	25.9094	35.2594	29.9513	35.8928	47.8327	39.1405	40.5709	43.144	64.5528	31.8791	37.8399	30.8271	29.467	44.8087	42.9103	NA	NA	NA	38.0543	61.5003	39.603	50.391
A4D126	CRPPA	38.4929	36.511	38.9197	40.2179	44.774	41.5155	32.8646	46.0512	34.7949	36.1816	44.3016	NA	34.0275	30.846	39.2777	36.1435	40.4048	34.3403	41.6737	49.5487	43.4659	45.5197	44.4523	52.4748	43.4783	34.4416	NA	26.7874	23.2413	35.5571	NA	29.4115	19.7574	27.9895	NA
A4D1E9	GTPBP10	23.062	15.0386	NA	26.1523	16.1005	15.6962	NA	19.6875	NA	NA	NA	NA	15.8658	NA	NA	NA	14.2019	NA	17.8761	NA	NA	7.76888	NA	NA	20.5474	NA	28.9963	19.8167	NA	NA	35.2836	24.7837	22.5839	24.5764	13.1091
A4D1P6	WDR91	71.2759	75.3893	48.6785	62.0025	66.5723	58.2395	65.4315	62.7905	79.4162	38.3437	54.0836	51.51	81.7296	75.1533	80.8363	32.7375	50.1266	54.9737	65.2715	55.2302	71.743	61.9214	52.1827	56.0879	57.7969	52.0637	67.7848	65.5345	54.3084	66.8953	47.0758	80.8468	62.7237	75.9941	40.0737
A4D1U4	DENND11	54.8028	33.489	31.0886	29.8161	37.1027	27.611	33.6161	34.3714	32.4106	41.4763	37.0132	39.6178	31.3138	21.6398	33.7055	23.3216	26.1298	49.7705	37.4304	28.8067	29.6566	26.8056	32.665	29.6126	32.5188	30.7812	NA	40.8955	NA	NA	NA	30.5357	41.5925	39.8912	NA
A4D2B0	MBLAC1	38.8638	NA	42.3095	NA	44.9055	NA	30.4618	NA	60.4152	NA	NA	NA	NA	NA	NA	57.1777	40.0938	NA	NA	37.1337	31.6879	NA	NA	33.3002	29.4196	NA	NA	29.8677	21.325	22.2472	NA	30.4563	56.5889	NA	25.9218
A4FU69	EFCAB5	95.7021	85.9026	95.4204	83.7906	NA	NA	105.941	NA	51.2597	113.741	NA	85.6615	151.008	85.68	NA	103.85	81.1858	97.0248	118.392	109.566	78.5784	75.7921	NA	84.7882	NA	136.612	130.878	91.8706	NA	95.6355	91.6059	181.196	124.776	161.843	183.533
A4UGR9	XIRP2	30.5531	24.3313	NA	18.9349	NA	30.5427	27.8245	28.9329	NA	48.5478	24.9604	31.792	37.9095	41.6114	33.0592	13.0297	NA	NA	NA	19.272	20.7019	NA	20.8914	NA	NA	15.1026	16.7505	NA	43.1149	30.687	26.8964	59.617	30.6859	17.7344	NA
A5D8V6	VPS37C	32.8688	32.3411	25.8908	29.6705	29.5825	39.44	17.6729	42.8082	NA	36.7907	24.4369	16.1755	44.5552	NA	38.8217	18.1037	15.8988	25.5344	30.6647	33.1116	13.6668	26.0105	33.8634	NA	22.4472	19.5402	32.9989	20.6938	17.2448	16.9713	19.3318	20.9585	27.1636	20.1649	51.1568
A5PKW4	PSD	NA	NA	NA	9.25411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.8774	6.61591	NA	NA	NA	NA	10.3227	NA	NA	NA	11.7906	NA	NA	NA	NA	NA	NA	NA	NA	12.7173
A5PLL7	PEDS1	53.7947	56.3598	27.9818	62.8715	58.1493	66.7203	52.43	70.6987	NA	26.165	NA	59.5561	NA	NA	53.3104	44.2486	36.7125	38.5751	32.6553	55.1425	NA	51.7533	NA	52.5041	42.3817	33.4	NA	44.9111	NA	42.0284	33.9471	NA	21.9684	20.8366	NA
A5PLN9	TRAPPC13	35.2711	32.5774	26.5258	27.8711	22.228	NA	NA	33.9583	24.91	27.8958	NA	NA	22.5767	32.2459	NA	21.3613	25.5528	21.8555	27.2379	27.095	24.4488	29.1728	23.6151	NA	25.2595	22.2712	NA	26.333	NA	26.3254	26.2915	29.8902	NA	27.7832	24.456
A5YKK6	CNOT1	58.104	73.0364	60.0072	64.1599	76.6892	73.7904	68.4194	72.9134	79.9955	70.6075	74.2303	66.2617	74.1759	81.0389	69.7386	56.941	60.8277	61.1391	65.4722	66.2947	61.8936	76.3452	68.7657	67.1778	71.1037	77.3656	103.861	84.0316	96.5444	78.2277	93.984	118.037	76.7104	81.5992	109.16
A5YM72	CARNS1	NA	27.9677	74.7876	NA	NA	NA	NA	39.2227	20.1339	232.14	59.0589	165.28	NA	79.5282	102.987	NA	66.8176	55.2174	141.948	134.761	63.8088	27.6511	83.6051	84.3351	36.9818	NA	NA	122.233	56.2475	54.7303	NA	NA	44.6695	NA	17.1525
A6NCE7;Q9GZQ8	MAP1LC3B;MAP1LC3B2	230.155	256.192	359.445	265.26	236.153	223.634	203.294	290.727	329.505	400.8	267.223	199.066	387.125	222.211	270.635	332.748	319.162	253.927	324.792	276.855	258.357	291.24	199.531	289.129	284.791	237.338	54.375	254.587	127.82	302.363	213.22	143.75	376.025	285.617	170.789
A6NCS6	C2orf72	66.1733	83.1715	76.2095	36.621	68.6337	81.591	74.4415	63.6812	68.9367	63.1048	24.8081	36.5306	30.0903	76.3772	57.7648	42.726	44.7213	40.7916	59.7413	57.6894	59.4397	58.628	60.6749	45.2403	55.758	49.7493	22.4391	91.3322	25.9036	32.3408	18.5697	53.7024	39.9075	49.3902	39.5346
A6NDG6	PGP	58.9593	53.6078	102.265	84.6358	55.5305	57.7511	67.0947	78.3722	65.7864	120.825	149.609	72.9869	87.2029	78.1021	99.7276	116.419	136.088	125.474	97.139	86.7735	93.1359	95.7112	100.067	93.4	92.806	99.8674	63.214	77.3478	66.1512	81.386	86.9163	74.6476	86.809	66.6736	77.0982
A6NDU8	RIMOC1	21.4554	43.3331	37.7097	37.195	32.9049	44.1868	44.9452	35.4093	40.0818	38.5846	NA	26.4618	29.2928	50.652	NA	20.5189	12.5547	19.417	34.1532	44.3579	22.6997	37.7506	23.3143	35.2365	27.2374	35.7359	31.1071	14.5714	30.5551	34.7985	42.9539	41.1504	48.7631	40.921	44.2212
A6NE02	BTBD17	90.1799	64.0401	66.9326	20.9429	43.0306	91.6517	45.6341	43.2414	67.1208	43.8918	43.8326	93.0991	23.1118	80.8469	31.1026	80.5121	100.716	115.882	132.926	79.1153	29.0436	96.6313	45.4546	75.1334	153.924	118.941	NA	41.2162	70.9074	56.0327	24.5948	30.7021	86.4619	62.2527	126.872
A6NFI3	ZNF316	NA	NA	NA	NA	17.6496	NA	NA	14.8264	20.3817	NA	NA	NA	18.0377	18.6832	NA	NA	NA	NA	19.773	17.0219	20.5718	18.4065	NA	NA	17.339	NA	NA	19.0349	NA	NA	NA	38.0002	NA	33.677	NA
A6NFQ2	TCAF2	NA	NA	NA	NA	NA	NA	NA	14.396	NA	25.6786	NA	NA	79.7982	36.9302	33.0346	NA	25.7524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.3166	27.0749	39.4276	18.5001	NA	12.6362	13.5872	16.187
A6NGB9	WIPF3	NA	NA	13.688	12.6632	NA	NA	18.3187	NA	NA	19.3319	32.8108	12.4603	NA	NA	17.0058	32.992	42.3874	37.6533	19.0196	19.5787	24.0636	22.2434	29.6578	10.8501	30.2986	21.3875	NA	20.2416	NA	12.015	NA	NA	NA	NA	NA
A6NGN9	IGLON5	25.9775	26.6456	NA	NA	29.2438	23.5483	NA	NA	22.4175	14.3084	15.8025	16.0645	24.094	17.4541	NA	12.2121	24.0583	24.2275	15.2464	14.5973	19.1195	NA	23.0183	NA	15.1187	NA	NA	29.7175	NA	NA	NA	14.4489	NA	15.4068	NA
A6NHL2	TUBAL3	300.369	311.274	448.68	563.933	468.967	502.97	577.758	880.64	221.83	488.693	552.48	294.696	769.662	668.764	603.864	598.121	463.729	774.075	662.586	750.748	645.667	522.958	497.454	705.289	620.34	969.918	206.271	383.965	299.998	479.765	228.832	383.354	498.205	292.646	299.993
A6NHQ2	FBLL1	59.3427	56.0509	NA	NA	72.487	57.7162	50.362	59.3071	46.8603	NA	71.3328	NA	77.5121	NA	NA	33.4211	NA	NA	NA	NA	NA	41.3148	NA	NA	43.0243	71.214	NA	NA	NA	69.9706	91.3199	57.0133	58.6742	NA	NA
A6NHR9	SMCHD1	34.6536	37.2682	32.2823	24.779	50.0458	42.7357	40.1052	37.3584	43.3064	30.627	26.7378	50.2975	38.0477	38.2694	30.1227	20.5377	19.9183	27.0727	32.9576	35.2486	22.0918	31.1599	26.1422	26.2523	42.0658	26.2107	88.3852	65.444	55.7106	50.5493	47.3224	81.91	46.5289	42.7637	62.306
A6NHX0	CASTOR2	42.1006	33.836	43.9479	44.7984	52.319	48.6961	52.0977	41.834	44.7288	51.3255	47.7301	99.981	60.5069	52.1679	47.0978	65.4847	75.7918	68.116	64.1447	67.661	68.4782	61.199	69.1784	57.4848	50.9731	53.0173	NA	35.1208	NA	37.6609	NA	44.4126	53.7345	52.3256	38.3288
A6NI28	ARHGAP42	21.3463	30.337	25.2405	23.3939	23.4288	NA	12.1079	18.4555	NA	12.6883	NA	NA	11.937	NA	18.9953	NA	NA	NA	NA	12.5014	NA	NA	NA	NA	NA	NA	34.4841	NA	NA	NA	29.3147	20.981	NA	NA	NA
A6NI72;P14598	NCF1;NCF1B	NA	NA	NA	NA	NA	NA	12.616	NA	NA	18.3982	NA	NA	19.1008	24.2075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.5728	32.9487	28.9584	NA	NA	NA	NA	NA	NA
A6NIH7	UNC119B	105.046	103.639	102.02	110.43	102.898	124.472	137.981	109.207	114.877	73.8069	49.9794	49.1527	58.9941	85.3981	112.124	42.2413	55.4425	60.4415	96.5968	115.395	96.7297	81.4259	73.6864	70.9761	81.3599	68.7883	72.8826	85.0321	88.2846	105.171	46.8352	59.4834	99.7849	92.6218	61.7981
A6NIK2	LRRC10B	189.435	153.68	335.373	322.05	154.942	154.654	144.66	129.626	435.973	87.2649	174.734	153.899	166.216	102.954	104.232	140.041	89.8913	96.7583	116.654	129.445	123.075	150.757	134.853	97.7695	146.638	109.203	205.825	146.266	84.8648	150.256	120.152	82.458	237.457	313.014	163.422
A6NKD9	CCDC85C	NA	7.63638	NA	NA	NA	8.00853	NA	NA	NA	NA	NA	NA	NA	7.29694	NA	NA	12.1295	NA	NA	NA	NA	NA	NA	NA	10.2688	NA	NA	NA	NA	NA	NA	NA	NA	7.27895	NA
A6NKN8	PCP4L1	11.1972	4.52073	24.7517	30.9743	NA	NA	NA	NA	12.4437	NA	79.9439	23.0615	46.7515	NA	NA	35.4035	50.2243	63.8614	26.7184	13.1242	25.7152	42.5006	39.5819	36.5284	41.3951	69.9522	NA	24.9942	NA	46.1404	NA	NA	28.113	NA	48.7409
A6QL63	BTBD11	NA	NA	NA	37.7837	NA	16.8355	NA	28.8626	NA	31.5367	31.0184	18.1684	27.3278	NA	NA	NA	NA	NA	NA	NA	24.0406	NA	NA	NA	24.2142	NA	19.299	NA	33.0094	35.4772	18.886	NA	NA	NA	NA
A7KAX9	ARHGAP32	NA	17.3817	21.6814	25.8826	13.2157	18.5447	17.9666	20.6323	NA	NA	25.0911	NA	16.8508	NA	26.5202	26.8286	24.8645	29.0567	18.7899	19.0603	26.0695	26.9385	20.585	17.715	22.4413	23.2538	NA	13.7406	NA	26.5199	NA	17.7559	26.8271	NA	24.8579
A7MBM2	DISP2	15.4953	16.6148	NA	NA	17.6015	12.4012	9.57125	11.7268	17.7927	5.04998	12.0511	7.72382	14.0837	14.1103	16.4944	8.35688	9.20395	NA	12.3247	NA	14.8522	15.9072	14.667	NA	16.7838	11.9406	NA	NA	NA	NA	NA	NA	11.8008	NA	NA
A8MSI8	LYRM9	90.1681	78.1897	63.079	97.1909	105.287	80.1206	48.1539	72.1907	79.2362	52.8987	64.6762	42.3545	NA	62.9287	78.8984	111.297	88.4428	NA	126.057	97.6724	103.289	81.4934	94.1515	72.4461	90.1452	82.8545	NA	NA	NA	38.0536	NA	NA	40.0725	34.344	NA
A8MV81	HIGD1C	19.4959	19.8743	NA	NA	13.9059	NA	NA	NA	NA	NA	NA	NA	9.16338	15.8971	NA	NA	NA	21.0146	NA	NA	NA	NA	NA	NA	NA	NA	6.6451	10.6979	NA	NA	7.52957	NA	NA	NA	16.4579
A8MVW0	FAM171A2	44.1433	23.1908	21.7916	27.795	36.7451	38.8149	42.5514	31.3234	28.1418	NA	NA	35.9495	38.2229	23.2035	26.8403	58.0469	56.7562	67.6155	35.7882	38.0307	46.8023	48.4226	45.884	39.1436	53.8457	50.6891	NA	38.0056	27.231	23.6035	NA	26.2286	32.4912	15.0961	31.0892
A8MWD9;P62308	SNRPG;SNRPGP15	257.103	333.3	281.794	213.787	330.413	279.397	130.638	288.392	279.438	248.735	195.963	192.386	245.728	168.014	207.743	227.263	212.023	235.153	206.57	215.442	154.779	164.447	207.32	238.386	326.048	254.469	372.132	396.359	272.184	325.454	323.611	376.086	290.06	197.457	419.599
A8MWY0	ELAPOR2	21.1262	21.2535	31.6202	18.7904	21.6273	20.6094	11.9369	NA	NA	34.1573	NA	27.9747	19.9279	NA	NA	NA	17.2523	NA	25.1952	33.93	18.84	23.2146	16.9851	NA	22.9137	NA	NA	NA	NA	28.6303	NA	18.0101	15.8019	17.274	NA
